,coef,se_classique,p_classique,se_robuste_HC3,p_robuste_HC3
const,-164.7826,6.5564,0.0,7.135,0.0
Pluviometrie_mm,0.4508,0.0084,0.0,0.0106,0.0
Temperature_C,2.6179,0.1572,0.0,0.1652,0.0
NDVI,60.101,3.7965,0.0,3.8567,0.0
Humidite_pct,0.3771,0.0514,0.0,0.0523,0.0
Densite_Population,0.1425,0.0062,0.0,0.0069,0.0
Couverture_Vaccinale_pct,-1.723,0.0425,0.0,0.0461,0.0
Tests_Realises,0.3607,0.0069,0.0,0.01,0.0
Distance_Centre_Sante_km,-0.8175,0.0397,0.0,0.041,0.0
Reservoirs_Animaux,-2.9066,1.2223,0.0175,1.2167,0.017
Province_Haut_Uele,-5.3603,2.9842,0.0726,2.8862,0.0634
Province_Kasaï_Central,-4.9903,3.2105,0.1202,2.8922,0.0846
Province_Lomami,4.4783,3.0009,0.1358,3.1869,0.1601
Province_Sankuru,-7.2854,3.0619,0.0174,2.9231,0.0128
Saison_Seche,7.1992,1.7896,0.0001,1.7215,0.0
