,coefficient,erreur_std,t,p_value,IC_2.5%,IC_97.5%
const,-164.7826,6.5564,-25.1331,0.0,-177.6394,-151.9258
Pluviometrie_mm,0.4508,0.0084,53.6713,0.0,0.4344,0.4673
Temperature_C,2.6179,0.1572,16.6556,0.0,2.3097,2.9261
NDVI,60.101,3.7965,15.8305,0.0,52.6561,67.5458
Humidite_pct,0.3771,0.0514,7.3323,0.0,0.2762,0.4779
Densite_Population,0.1425,0.0062,22.9229,0.0,0.1303,0.1547
Couverture_Vaccinale_pct,-1.723,0.0425,-40.5729,0.0,-1.8063,-1.6397
Tests_Realises,0.3607,0.0069,52.621,0.0,0.3472,0.3741
Distance_Centre_Sante_km,-0.8175,0.0397,-20.5824,0.0,-0.8954,-0.7396
Reservoirs_Animaux,-2.9066,1.2223,-2.3781,0.0175,-5.3035,-0.5098
Province_Haut_Uele,-5.3603,2.9842,-1.7962,0.0726,-11.2123,0.4917
Province_Kasaï_Central,-4.9903,3.2105,-1.5544,0.1202,-11.2859,1.3053
Province_Lomami,4.4783,3.0009,1.4923,0.1358,-1.4064,10.363
Province_Sankuru,-7.2854,3.0619,-2.3794,0.0174,-13.2897,-1.2812
Saison_Seche,7.1992,1.7896,4.0228,0.0001,3.6899,10.7086
